cOUnty,statE,statE_cOdE,pOpUlatIOn
Colonial Heights city,Virginia,VA,17593
Covington city,Virginia,VA,5582
Danville city,Virginia,VA,41512
Emporia city,Virginia,VA,5381
Fairfax city,Virginia,VA,23865
Falls Church city,Virginia,VA,14067
Franklin city,Virginia,VA,8211
Fredericksburg city,Virginia,VA,28469
Galax city,Virginia,VA,6638
Hampton city,Virginia,VA,135583
Harrisonburg city,Virginia,VA,53391
Hopewell city,Virginia,VA,22408
Lexington city,Virginia,VA,7110
Lynchburg city,Virginia,VA,80131
Manassas city,Virginia,VA,41457
Manassas Park city,Virginia,VA,16423
Martinsville city,Virginia,VA,13101
Newport News city,Virginia,VA,180145
Norfolk city,Virginia,VA,245592
Norton city,Virginia,VA,3990
Petersburg city,Virginia,VA,31827
Poquoson city,Virginia,VA,12039
Portsmouth city,Virginia,VA,95311
Radford city,Virginia,VA,17630
Richmond city,Virginia,VA,223787
Roanoke city,Virginia,VA,99621
Salem city,Virginia,VA,25519
Staunton city,Virginia,VA,24452
Suffolk city,Virginia,VA,89160
Virginia Beach city,Virginia,VA,450135
Waynesboro city,Virginia,VA,21926
Williamsburg city,Virginia,VA,14788
Winchester city,Virginia,VA,27789
Adams County,Washington,WA,19452
Asotin County,Washington,WA,22337
Benton County,Washington,WA,194168
Chelan County,Washington,WA,75757
Clallam County,Washington,WA,74487
Clark County,Washington,WA,465384
Columbia County,Washington,WA,4001
Cowlitz County,Washington,WA,105112
Douglas County,Washington,WA,41371
Ferry County,Washington,WA,7576
Franklin County,Washington,WA,90660
Garfield County,Washington,WA,2224
Grant County,Washington,WA,94860
Grays Harbor County,Washington,WA,71967
Island County,Washington,WA,81636
Jefferson County,Washington,WA,30856
King County,Washington,WA,2163257
Kitsap County,Washington,WA,262475
Kittitas County,Washington,WA,44825
Klickitat County,Washington,WA,21396
Lewis County,Washington,WA,76947
Lincoln County,Washington,WA,10435
Mason County,Washington,WA,62627
Okanogan County,Washington,WA,41638
Pacific County,Washington,WA,21281
Pend Oreille County,Washington,WA,13219
Pierce County,Washington,WA,859840
San Juan County,Washington,WA,16473
Skagit County,Washington,WA,123907
Skamania County,Washington,WA,11620
Snohomish County,Washington,WA,786620
Spokane County,Washington,WA,497875
Stevens County,Washington,WA,44214
Thurston County,Washington,WA,274684
Wahkiakum County,Washington,WA,4189
Walla Walla County,Washington,WA,60236
Whatcom County,Washington,WA,216812
Whitman County,Washington,WA,48593
Yakima County,Washington,WA,249325
Barbour County,West Virginia,WV,16730
Berkeley County,West Virginia,WV,113495
Boone County,West Virginia,WV,22817
Braxton County,West Virginia,WV,14282
Brooke County,West Virginia,WV,22772
Cabell County,West Virginia,WV,95318
Calhoun County,West Virginia,WV,7396
Clay County,West Virginia,WV,8785
Doddridge County,West Virginia,WV,8536
Fayette County,West Virginia,WV,44126
Gilmer County,West Virginia,WV,8205
Grant County,West Virginia,WV,11641
Greenbrier County,West Virginia,WV,35347
Hampshire County,West Virginia,WV,23363
Hancock County,West Virginia,WV,29680
Hardy County,West Virginia,WV,13842
Harrison County,West Virginia,WV,68209
Jackson County,West Virginia,WV,29018
Jefferson County,West Virginia,WV,56179
Kanawha County,West Virginia,WV,185710
Lewis County,West Virginia,WV,16276
Lincoln County,West Virginia,WV,21078
Logan County,West Virginia,WV,33801
McDowell County,West Virginia,WV,19217
Marion County,West Virginia,WV,56497
Marshall County,West Virginia,WV,31645
Mason County,West Virginia,WV,26939
Mercer County,West Virginia,WV,60486
Mineral County,West Virginia,WV,27278
Mingo County,West Virginia,WV,24741
Monongalia County,West Virginia,WV,105252
Monroe County,West Virginia,WV,13467
Morgan County,West Virginia,WV,17624
Nicholas County,West Virginia,WV,25324
Ohio County,West Virginia,WV,42547
Pendleton County,West Virginia,WV,7056
Pleasants County,West Virginia,WV,7507
Pocahontas County,West Virginia,WV,8531
Preston County,West Virginia,WV,33837
Putnam County,West Virginia,WV,56652
Raleigh County,West Virginia,WV,76232
Randolph County,West Virginia,WV,29065
Ritchie County,West Virginia,WV,9932
Roane County,West Virginia,WV,14205
Summers County,West Virginia,WV,13018
Taylor County,West Virginia,WV,16951
Tucker County,West Virginia,WV,7027
Tyler County,West Virginia,WV,8909
Upshur County,West Virginia,WV,24605
Wayne County,West Virginia,WV,40708
Webster County,West Virginia,WV,8518
Wetzel County,West Virginia,WV,15614
Wirt County,West Virginia,WV,5797
Wood County,West Virginia,WV,85556
Wyoming County,West Virginia,WV,21711
Adams County,Wisconsin,WI,20073
Ashland County,Wisconsin,WI,15712
Barron County,Wisconsin,WI,45252
Bayfield County,Wisconsin,WI,14992
Brown County,Wisconsin,WI,259786
Buffalo County,Wisconsin,WI,13167
Burnett County,Wisconsin,WI,15258
Calumet County,Wisconsin,WI,49807
Chippewa County,Wisconsin,WI,63635
Clark County,Wisconsin,WI,34491
Columbia County,Wisconsin,WI,56954
Crawford County,Wisconsin,WI,16288
Dane County,Wisconsin,WI,529843
Dodge County,Wisconsin,WI,87776
Door County,Wisconsin,WI,27439
Douglas County,Wisconsin,WI,43402
Dunn County,Wisconsin,WI,44498
Eau Claire County,Wisconsin,WI,102991
Florence County,Wisconsin,WI,4337
Fond du Lac County,Wisconsin,WI,102315
Forest County,Wisconsin,WI,9018
Grant County,Wisconsin,WI,51828
Green County,Wisconsin,WI,36864
Green Lake County,Wisconsin,WI,18757
Iowa County,Wisconsin,WI,23620
Iron County,Wisconsin,WI,5715
Jackson County,Wisconsin,WI,20506
Jefferson County,Wisconsin,WI,84652
Juneau County,Wisconsin,WI,26419
Kenosha County,Wisconsin,WI,168330
Kewaunee County,Wisconsin,WI,20360
La Crosse County,Wisconsin,WI,117850
Lafayette County,Wisconsin,WI,16735
Langlade County,Wisconsin,WI,19164
Lincoln County,Wisconsin,WI,27848
Manitowoc County,Wisconsin,WI,79407
Marathon County,Wisconsin,WI,135264
Marinette County,Wisconsin,WI,40537
Marquette County,Wisconsin,WI,15207
Menominee County,Wisconsin,WI,4579
Milwaukee County,Wisconsin,WI,954209
Monroe County,Wisconsin,WI,45502
Oconto County,Wisconsin,WI,37556
Oneida County,Wisconsin,WI,35345
Outagamie County,Wisconsin,WI,184754
Ozaukee County,Wisconsin,WI,88284
Pepin County,Wisconsin,WI,7262
Pierce County,Wisconsin,WI,41603
Polk County,Wisconsin,WI,43349
Portage County,Wisconsin,WI,70599
Price County,Wisconsin,WI,13490
Racine County,Wisconsin,WI,195398
Richland County,Wisconsin,WI,17539
Rock County,Wisconsin,WI,161769
Rusk County,Wisconsin,WI,14183
St. Croix County,Wisconsin,WI,87917
Sauk County,Wisconsin,WI,63596
Sawyer County,Wisconsin,WI,16370
Shawano County,Wisconsin,WI,41009
Sheboygan County,Wisconsin,WI,115205
Taylor County,Wisconsin,WI,20356
Trempealeau County,Wisconsin,WI,29438
Vernon County,Wisconsin,WI,30516
Vilas County,Wisconsin,WI,21593
Walworth County,Wisconsin,WI,103013
Washburn County,Wisconsin,WI,15689
Washington County,Wisconsin,WI,134535
Waukesha County,Wisconsin,WI,398879
Waupaca County,Wisconsin,WI,51444
Waushara County,Wisconsin,WI,24116
Winnebago County,Wisconsin,WI,169926
Wood County,Wisconsin,WI,73274
Albany County,Wyoming,WY,38102
Big Horn County,Wyoming,WY,11901
Campbell County,Wyoming,WY,47708
Carbon County,Wyoming,WY,15477
Converse County,Wyoming,WY,13997
Crook County,Wyoming,WY,7410
Fremont County,Wyoming,WY,40076
Goshen County,Wyoming,WY,13438
Hot Springs County,Wyoming,WY,4680
Johnson County,Wyoming,WY,8515
Laramie County,Wyoming,WY,97692
Lincoln County,Wyoming,WY,19011
Natrona County,Wyoming,WY,80610
Niobrara County,Wyoming,WY,2448
Park County,Wyoming,WY,29121
Platte County,Wyoming,WY,8673
Sheridan County,Wyoming,WY,30012
Sublette County,Wyoming,WY,9951
Sweetwater County,Wyoming,WY,44117
Teton County,Wyoming,WY,23059
Uinta County,Wyoming,WY,20609
Washakie County,Wyoming,WY,8129
Weston County,Wyoming,WY,7100
Adjuntas Municipio,Puerto Rico,,18181
Aguada Municipio,Puerto Rico,,38643
Aguadilla Municipio,Puerto Rico,,54166
Aguas Buenas Municipio,Puerto Rico,,26275
Aibonito Municipio,Puerto Rico,,23457
A�asco Municipio,Puerto Rico,,27368
Arecibo Municipio,Puerto Rico,,87242
Arroyo Municipio,Puerto Rico,,18111
Barceloneta Municipio,Puerto Rico,,24299
Barranquitas Municipio,Puerto Rico,,28755
Bayam�n Municipio,Puerto Rico,,182955
Cabo Rojo Municipio,Puerto Rico,,49005
Caguas Municipio,Puerto Rico,,131363
Camuy Municipio,Puerto Rico,,32222
Can�vanas Municipio,Puerto Rico,,46108
Carolina Municipio,Puerto Rico,,157453
Cata�o Municipio,Puerto Rico,,24888
Cayey Municipio,Puerto Rico,,44530
Ceiba Municipio,Puerto Rico,,11853
Ciales Municipio,Puerto Rico,,16912
Cidra Municipio,Puerto Rico,,40343
Coamo Municipio,Puerto Rico,,39265
Comer�o Municipio,Puerto Rico,,19539
Corozal Municipio,Puerto Rico,,34165
Culebra Municipio,Puerto Rico,,1314
Dorado Municipio,Puerto Rico,,37208
Fajardo Municipio,Puerto Rico,,32001
Florida Municipio,Puerto Rico,,11910
Gu�nica Municipio,Puerto Rico,,16783
Guayama Municipio,Puerto Rico,,41706
Guayanilla Municipio,Puerto Rico,,19008
Guaynabo Municipio,Puerto Rico,,88663
Gurabo Municipio,Puerto Rico,,46894
Hatillo Municipio,Puerto Rico,,40390
Hormigueros Municipio,Puerto Rico,,16180
Humacao Municipio,Puerto Rico,,53466
Isabela Municipio,Puerto Rico,,42420
Jayuya Municipio,Puerto Rico,,14906
Juana D�az Municipio,Puerto Rico,,46960
Juncos Municipio,Puerto Rico,,39128
Lajas Municipio,Puerto Rico,,23315
Lares Municipio,Puerto Rico,,26451
Las Mar�as Municipio,Puerto Rico,,8599
Las Piedras Municipio,Puerto Rico,,37768
Lo�za Municipio,Puerto Rico,,26463
Luquillo Municipio,Puerto Rico,,18547
Manat� Municipio,Puerto Rico,,39692
Maricao Municipio,Puerto Rico,,6202
Maunabo Municipio,Puerto Rico,,11023
Mayag�ez Municipio,Puerto Rico,,77255
Moca Municipio,Puerto Rico,,36872
Morovis Municipio,Puerto Rico,,31320
Naguabo Municipio,Puerto Rico,,26266
Naranjito Municipio,Puerto Rico,,28557
Orocovis Municipio,Puerto Rico,,21407
Patillas Municipio,Puerto Rico,,17334
Pe�uelas Municipio,Puerto Rico,,20984
Ponce Municipio,Puerto Rico,,143926
Quebradillas Municipio,Puerto Rico,,24036
Rinc�n Municipio,Puerto Rico,,14269
R�o Grande Municipio,Puerto Rico,,50550
Sabana Grande Municipio,Puerto Rico,,23054
Salinas Municipio,Puerto Rico,,28633
San Germ�n Municipio,Puerto Rico,,32114
San Juan Municipio,Puerto Rico,,344606
San Lorenzo Municipio,Puerto Rico,,37873
San Sebasti�n Municipio,Puerto Rico,,37964
Santa Isabel Municipio,Puerto Rico,,22066
Toa Alta Municipio,Puerto Rico,,73405
Toa Baja Municipio,Puerto Rico,,79726
Trujillo Alto Municipio,Puerto Rico,,67780
Utuado Municipio,Puerto Rico,,29402
Vega Alta Municipio,Puerto Rico,,37724
Vega Baja Municipio,Puerto Rico,,53371
Vieques Municipio,Puerto Rico,,8771
Villalba Municipio,Puerto Rico,,22993
Yabucoa Municipio,Puerto Rico,,34149
Yauco Municipio,Puerto Rico,,36439
